论文stem,模型,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,deepseek,43982,36814,27,34,0.7334,0.9236,1.2593
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,gemini,43982,36814,35,18,0.9507,0.4889,0.5143
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620,kimi,43982,36814,18,26,0.4889,0.7063,1.4444
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,deepseek,6683,5898,22,20,3.7301,3.3910,0.9091
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,gemini,6683,5898,24,15,4.0692,2.5432,0.6250
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624,kimi,6683,5898,16,38,2.7128,6.4429,2.3750
飞机空调冷却子系统故障预测_MinerU__20250913053938,deepseek,24658,15722,23,8,1.4629,0.5088,0.3478
飞机空调冷却子系统故障预测_MinerU__20250913053938,gemini,24658,15722,29,12,1.8445,0.7633,0.4138
飞机空调冷却子系统故障预测_MinerU__20250913053938,kimi,24658,15722,12,12,0.7633,0.7633,1.0000
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,deepseek,40104,33139,55,43,1.6597,1.2976,0.7818
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,gemini,40104,33139,37,23,1.1165,0.6940,0.6216
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930,kimi,40104,33139,32,18,0.9656,0.5432,0.5625
飞机维修系统的演变_MinerU__20250913053201,deepseek,5927,5305,19,6,3.5815,1.1310,0.3158
飞机维修系统的演变_MinerU__20250913053201,gemini,5927,5305,31,22,5.8435,4.1470,0.7097
飞机维修系统的演变_MinerU__20250913053201,kimi,5927,5305,30,17,5.6550,3.2045,0.5667
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,deepseek,12421,9688,10,9,1.0322,0.9290,0.9000
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,gemini,12421,9688,29,17,2.9934,1.7547,0.5862
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943,kimi,12421,9688,15,12,1.5483,1.2386,0.8000
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,deepseek,5569,3586,16,15,4.4618,4.1829,0.9375
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,gemini,5569,3586,24,16,6.6927,4.4618,0.6667
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258,kimi,5569,3586,24,25,6.6927,6.9716,1.0417
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,deepseek,8733,5661,14,12,2.4731,2.1198,0.8571
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,gemini,8733,5661,26,14,4.5928,2.4731,0.5385
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301,kimi,8733,5661,14,12,2.4731,2.1198,0.8571
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,deepseek,14698,11969,10,9,0.8355,0.7519,0.9000
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,gemini,14698,11969,20,12,1.6710,1.0026,0.6000
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303,kimi,14698,11969,11,9,0.9190,0.7519,0.8182
