文本(归一),类型,集合
空军杭州航空医学鉴定训练中心医训处,发表单位,增补前缺失
空军杭州航空医学鉴定训练中心质量管理办公室,发表单位,增补前缺失
空军驻江苏地区军事代表室,发表单位,增补前缺失
章卫国,作者,增补前缺失
童志伟,作者,增补前缺失
翁庐英,作者,增补前缺失
翟正军,作者,增补前缺失
肖明清,作者,增补前缺失
肖皓天,作者,增补前缺失
肖迎春,作者,增补前缺失
胡雷刚,作者,增补前缺失
航天飞机考虑意外损伤时防热系统的健康管理研究,论文,增补前缺失
航空发动机phm中的数据挖掘机遇与挑战,论文,增补前缺失
航空发动机健康参数的卡尔曼滤波估计方法分析,论文,增补前缺失
航空发动机健康管理系统功能架构分析与研究,论文,增补前缺失
航空发动机增强型机载自适应模型气路故障诊断方法,论文,增补前缺失
航空发动机机载健康管理系统设计方法,论文,增补前缺失
航空发动机的多参数快速故障诊断模型,论文,增补前缺失
航空机电作动器健康管理验证系统研究,论文,增补前缺失
航空状态监测传感器技术的发展,论文,增补前缺失
航空电子系统故障预测与健康管理技术现状与发展,论文,增补前缺失
航空电子设备故障预测框架与方法,论文,增补前缺失
航空电子设备故障预测特征参数提取方法研究,论文,增补前缺失
航空装备故障风险分析与趋势预测方法,论文,增补前缺失
苏耀峰,作者,增补前缺失
范庚,作者,增补前缺失
莫固良,作者,增补前缺失
蒋丽英,作者,增补前缺失
蔡坤烨,作者,增补前缺失
蔡景,作者,增补前缺失
袁海文,作者,增补前缺失
西北工业大学自动化学院,发表单位,增补前缺失
西北工业大学航空学院,发表单位,增补前缺失
西北工业大学航空学院 西安710072,发表单位,增补前缺失
西北工业大学计算机学院,发表单位,增补前缺失
西安710072,发表单位,增补前缺失
西安卫星测控中心,发表单位,增补前缺失
西安外事学院现代技术教育中心,发表单位,增补前缺失
西安应用光学研究所,发表单位,增补前缺失
西安飞豹科技发展公司仿真部,发表单位,增补前缺失
解放军95478部队,发表单位,增补前缺失
解放军95927部队14分队,发表单位,增补前缺失
詹轲倚,作者,增补前缺失
许先鑫,作者,增补前缺失
许喆平,作者,增补前缺失
许春生,作者,增补前缺失
许艳芝,作者,增补前缺失
贵州省转子结构完整性重点实验室,发表单位,增补前缺失
赖思齐,作者,增补前缺失
赵奇,作者,增补前缺失
赵璧,作者,增补前缺失
邓小乐,作者,增补前缺失
邹莹芝,作者,增补前缺失
郎荣玲,作者,增补前缺失
郑敬杭,作者,增补前缺失
郑茂宽,作者,增补前缺失
郭阳明,作者,增补前缺失
鄂尔多斯应用技术学院大飞机学院,发表单位,增补前缺失
鄢睿丞,作者,增补前缺失
闫辉,作者,增补前缺失
陈华坤,作者,增补前缺失
陈文豪,作者,增补前缺失
陈桂鹏,作者,增补前缺失
陈良峰,作者,增补前缺失
陕西师范大学计算机科学学院,发表单位,增补前缺失
陕西西安710038,发表单位,增补前缺失
雷洪利,作者,增补前缺失
霍立平,作者,增补前缺失
韩建定,作者,增补前缺失
颜佳佳,作者,增补前缺失
飞机供电系统的改进型phm方案,论文,增补前缺失
飞机健康监测与预测系统的发展及展望,论文,增补前缺失
飞机健康管理平台的客户需求分析与plm服务资源匹配,论文,增补前缺失
飞机发动机故障的多参数预测模型,论文,增补前缺失
飞机开关磁阻发电系统故障推理模型研究,论文,增补前缺失
飞机性能参数预测的不确定性处理,论文,增补前缺失
飞机操纵面故障的多参数预测模型,论文,增补前缺失
飞机机电系统部件数据驱动健康状态在线估计方法综述,论文,增补前缺失
飞机燃油供油系统性能退化与故障预测,论文,增补前缺失
飞机电源多agent预测与健康管理系统研究,论文,增补前缺失
飞机电源系统故障诊断方法综述及发展趋势,论文,增补前缺失
飞机电源系统智能bit的发展及解决方案,论文,增补前缺失
飞机空调冷却子系统故障预测,论文,增补前缺失
飞机结构健康监测与管理技术研究进展和展望,论文,增补前缺失
飞机维修系统的演变,论文,增补前缺失
飞机起落架液压收放系统多故障仿真与健康评估,论文,增补前缺失
