=== 依存路径批处理开始 2025-09-14 16:15:22 ===
[DONE] 基于SOA的航空发动机健康管理系统设计 stats={'total_pairs': 11, 'aligned_pairs': 10, 'path_found': 10, 'cross_sentence_pairs': 1, 'cross_sentence_path_found': 1}
[DONE] 基于SVM方法的APU故障预测方法 stats={'total_pairs': 11, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 基于UML的民用飞机电源系统设计与实现 stats={'total_pairs': 12, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 6, 'cross_sentence_path_found': 6}
[DONE] 基于UML的航电设备故障诊断与预测系统设计 stats={'total_pairs': 7, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于云计算的飞机PHM体系架构研究 stats={'total_pairs': 7, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 1, 'cross_sentence_path_found': 1}
[DONE] 基于健康监测的飞机结构寿命预测技术 stats={'total_pairs': 15, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 8, 'cross_sentence_path_found': 8}
[DONE] 基于免疫神经网络的航空设备故障预测研究 stats={'total_pairs': 7, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 2, 'cross_sentence_path_found': 2}
[DONE] 基于半监督迁移学习的轴承故障诊断方法 stats={'total_pairs': 15, 'aligned_pairs': 13, 'path_found': 13, 'cross_sentence_pairs': 2, 'cross_sentence_path_found': 2}
[DONE] 基于回声状态网络的飞机混沌时间序列预测模型 stats={'total_pairs': 8, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 2, 'cross_sentence_path_found': 2}
[DONE] 基于多因子高阶模糊变动的飞机操纵面故障趋势预测 stats={'total_pairs': 12, 'aligned_pairs': 11, 'path_found': 11, 'cross_sentence_pairs': 1, 'cross_sentence_path_found': 1}
[DONE] 基于多尺度LSTM预测模型研究 stats={'total_pairs': 12, 'aligned_pairs': 3, 'path_found': 3, 'cross_sentence_pairs': 9, 'cross_sentence_path_found': 9}
[DONE] 基于多层LSTM的复杂系统剩余寿命智能预测 stats={'total_pairs': 9, 'aligned_pairs': 4, 'path_found': 4, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 基于多模型融合的航空电子产品故障预测方法 stats={'total_pairs': 15, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 10, 'cross_sentence_path_found': 10}
[DONE] 基于多深度置信网络融合的航空电子设备故障预测 stats={'total_pairs': 15, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 10, 'cross_sentence_path_found': 10}
[DONE] 基于多状态MOG-HMM和Viterbi的航空发动机突发故障预测 stats={'total_pairs': 12, 'aligned_pairs': 8, 'path_found': 8, 'cross_sentence_pairs': 4, 'cross_sentence_path_found': 4}
[DONE] 基于支持向量机回归算法的飞机主油泵故障数预测 stats={'total_pairs': 4, 'aligned_pairs': 4, 'path_found': 4, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
